id_passageiro,sobreviveu,classe,nome,sexo,idade,irmaos_conjuge,pais_criancas,passagem,tarifa,cabine,embarque
40,sim,3,"Nicola-Yarred, Miss. Jamila",feminino,14,1,0,2651,11.2417,NA,Cherbourg
41,nao,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",feminino,40,1,0,7546,9475,NA,Southampton
42,nao,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",feminino,27,1,0,11668,21,NA,Southampton
43,nao,3,"Kraeff, Mr. Theodor",masculino,NA,0,0,349253,7.8958,NA,Cherbourg
44,sim,2,"Laroche, Miss. Simonne Marie Anne Andree",feminino,3,1,2,SC/Paris 2123,41.5792,NA,Cherbourg
45,sim,3,"Devaney, Miss. Margaret Delia",feminino,19,0,0,330958,7.8792,NA,Queenstow
46,nao,3,"Rogers, Mr. William John",masculino,NA,0,0,S.C./A.4. 23567,8.05,NA,Southampton
47,nao,3,"Lennon, Mr. Denis",masculino,NA,1,0,370371,15.5,NA,Queenstow
48,sim,3,"O'Driscoll, Miss. Bridget",feminino,NA,0,0,14311,7.75,NA,Queenstow
49,nao,3,"Samaan, Mr. Youssef",masculino,NA,2,0,2662,21.6792,NA,Cherbourg
50,nao,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",feminino,18,1,0,349237,17.8,NA,Southampton
51,nao,3,"Panula, Master. Juha Niilo",masculino,7,4,1,3101295,39.6875,NA,Southampton
52,nao,3,"Nosworthy, Mr. Richard Cater",masculino,21,0,0,A/4. 39886,7.8,NA,Southampton
53,sim,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",feminino,49,1,0,PC 17572,76.7292,D33,Cherbourg
54,sim,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",feminino,29,1,0,2926,26,NA,Southampton
55,nao,1,"Ostby, Mr. Engelhart Cornelius",masculino,65,0,1,113509,61.9792,B30,Cherbourg
56,sim,1,"Woolner, Mr. Hugh",masculino,NA,0,0,19947,35.5,C52,Southampton
57,sim,2,"Rugg, Miss. Emily",feminino,21,0,0,C.A. 31026,10.5,NA,Southampton
58,nao,3,"Novel, Mr. Mansouer",masculino,28.5,0,0,2697,7.2292,NA,Cherbourg
59,sim,2,"West, Miss. Constance Mirium",feminino,5,1,2,C.A. 34651,27.75,NA,Southampton
60,nao,3,"Goodwin, Master. William Frederick",masculino,11,5,2,CA 2144,46.9,NA,Southampton
61,nao,3,"Sirayanian, Mr. Orsen",masculino,22,0,0,2669,7.2292,NA,Cherbourg
62,sim,1,"Icard, Miss. Amelie",feminino,38,0,0,113572,80,B28,NA
63,nao,1,"Harris, Mr. Henry Birkhardt",masculino,45,1,0,36973,83475,C83,Southampton
64,nao,3,"Skoog, Master. Harald",masculino,4,3,2,347088,27.9,NA,Southampton
65,nao,1,"Stewart, Mr. Albert A",masculino,NA,0,0,PC 17605,27.7208,NA,Cherbourg
66,sim,3,"Moubarek, Master. Gerios",masculino,NA,1,1,2661,15.2458,NA,Cherbourg
67,sim,2,"Nye, Mrs. (Elizabeth Ramell)",feminino,29,0,0,C.A. 29395,10.5,F33,Southampton
68,nao,3,"Crease, Mr. Ernest James",masculino,19,0,0,S.P. 3464,8.1583,NA,Southampton
69,sim,3,"Andersson, Miss. Erna Alexandra",feminino,17,4,2,3101281,7925,NA,Southampton
70,nao,3,"Kink, Mr. Vincenz",masculino,26,2,0,315151,8.6625,NA,Southampton
71,nao,2,"Jenkin, Mr. Stephen Curnow",masculino,32,0,0,C.A. 33111,10.5,NA,Southampton
72,nao,3,"Goodwin, Miss. Lillian Amy",feminino,16,5,2,CA 2144,46.9,NA,Southampton
73,nao,2,"Hood, Mr. Ambrose Jr",masculino,21,0,0,S.O.C. 14879,73.5,NA,Southampton
74,nao,3,"Chronopoulos, Mr. Apostolos",masculino,26,1,0,2680,14.4542,NA,Cherbourg
75,sim,3,"Bing, Mr. Lee",masculino,32,0,0,1601,56.4958,NA,Southampton
76,nao,3,"Moen, Mr. Sigurd Hansen",masculino,25,0,0,348123,7.65,F G73,Southampton
77,nao,3,"Staneff, Mr. Ivan",masculino,NA,0,0,349208,7.8958,NA,Southampton
78,nao,3,"Moutal, Mr. Rahamin Haim",masculino,NA,0,0,374746,8.05,NA,Southampton
79,sim,2,"Caldwell, Master. Alden Gates",masculino,0.83,0,2,248738,29,NA,Southampton
80,sim,3,"Dowdell, Miss. Elizabeth",feminino,30,0,0,364516,12475,NA,Southampton
81,nao,3,"Waelens, Mr. Achille",masculino,22,0,0,345767,9,NA,Southampton
82,sim,3,"Sheerlinck, Mr. Jan Baptist",masculino,29,0,0,345779,9.5,NA,Southampton
83,sim,3,"McDermott, Miss. Brigdet Delia",feminino,NA,0,0,330932,7.7875,NA,Queenstow
84,nao,1,"Carrau, Mr. Francisco M",masculino,28,0,0,113059,47.1,NA,Southampton
85,sim,2,"Ilett, Miss. Bertha",feminino,17,0,0,SO/C 14885,10.5,NA,Southampton
86,sim,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",feminino,33,3,0,3101278,15.85,NA,Southampton
87,nao,3,"Ford, Mr. William Neal",masculino,16,1,3,W./C. 6608,34375,NA,Southampton
88,nao,3,"Slocovski, Mr. Selman Francis",masculino,NA,0,0,SOTON/OQ 392086,8.05,NA,Southampton
89,sim,1,"Fortune, Miss. Mabel Helen",feminino,23,3,2,19950,263,C23 C25 C27,Southampton
90,nao,3,"Celotti, Mr. Francesco",masculino,24,0,0,343275,8.05,NA,Southampton
91,nao,3,"Christmann, Mr. Emil",masculino,29,0,0,343276,8.05,NA,Southampton
92,nao,3,"Andreasson, Mr. Paul Edvin",masculino,20,0,0,347466,7.8542,NA,Southampton
93,nao,1,"Chaffee, Mr. Herbert Fuller",masculino,46,1,0,W.E.P. 5734,61175,E31,Southampton
94,nao,3,"Dean, Mr. Bertram Frank",masculino,26,1,2,C.A. 2315,20575,NA,Southampton
95,nao,3,"Coxon, Mr. Daniel",masculino,59,0,0,364500,7.25,NA,Southampton
96,nao,3,"Shorney, Mr. Charles Joseph",masculino,NA,0,0,374910,8.05,NA,Southampton
97,nao,1,"Goldschmidt, Mr. George B",masculino,71,0,0,PC 17754,34.6542,A5,Cherbourg
98,sim,1,"Greenfield, Mr. William Bertram",masculino,23,0,1,PC 17759,63.3583,D10 D12,Cherbourg
99,sim,2,"Doling, Mrs. John T (Ada Julia Bone)",feminino,34,0,1,231919,23,NA,Southampton
100,nao,2,"Kantor, Mr. Sinai",masculino,34,1,0,244367,26,NA,Southampton
101,nao,3,"Petranec, Miss. Matilda",feminino,28,0,0,349245,7.8958,NA,Southampton
102,nao,3,"Petroff, Mr. Pastcho (""Pentcho"")",masculino,NA,0,0,349215,7.8958,NA,Southampton
103,nao,1,"White, Mr. Richard Frasar",masculino,21,0,1,35281,77.2875,D26,Southampton
104,nao,3,"Johansson, Mr. Gustaf Joel",masculino,33,0,0,7540,8.6542,NA,Southampton
105,nao,3,"Gustafsson, Mr. Anders Vilhelm",masculino,37,2,0,3101276,7925,NA,Southampton
106,nao,3,"Mionoff, Mr. Stoytcho",masculino,28,0,0,349207,7.8958,NA,Southampton
107,sim,3,"Salkjelsvik, Miss. Anna Kristine",feminino,21,0,0,343120,7.65,NA,Southampton
108,sim,3,"Moss, Mr. Albert Johan",masculino,NA,0,0,312991,7775,NA,Southampton
109,nao,3,"Rekic, Mr. Tido",masculino,38,0,0,349249,7.8958,NA,Southampton
110,sim,3,"Moran, Miss. Bertha",feminino,NA,1,0,371110,24.15,NA,Queenstow
111,nao,1,"Porter, Mr. Walter Chamberlain",masculino,47,0,0,110465,52,C110,Southampton
112,nao,3,"Zabour, Miss. Hileni",feminino,14.5,1,0,2665,14.4542,NA,Cherbourg
113,nao,3,"Barton, Mr. David John",masculino,22,0,0,324669,8.05,NA,Southampton
114,nao,3,"Jussila, Miss. Katriina",feminino,20,1,0,4136,9825,NA,Southampton
115,nao,3,"Attalah, Miss. Malake",feminino,17,0,0,2627,14.4583,NA,Cherbourg
116,nao,3,"Pekoniemi, Mr. Edvard",masculino,21,0,0,STON/O 2. 3101294,7925,NA,Southampton
117,nao,3,"Connors, Mr. Patrick",masculino,70.5,0,0,370369,7.75,NA,Queenstow
118,nao,2,"Turpin, Mr. William John Robert",masculino,29,1,0,11668,21,NA,Southampton
119,nao,1,"Baxter, Mr. Quigg Edmond",masculino,24,0,1,PC 17558,247.5208,B58 B60,Cherbourg
120,nao,3,"Andersson, Miss. Ellis Anna Maria",feminino,2,4,2,347082,31275,NA,Southampton
121,nao,2,"Hickman, Mr. Stanley George",masculino,21,2,0,S.O.C. 14879,73.5,NA,Southampton
122,nao,3,"Moore, Mr. Leonard Charles",masculino,NA,0,0,A4. 54510,8.05,NA,Southampton
123,nao,2,"Nasser, Mr. Nicholas",masculino,32.5,1,0,237736,30.0708,NA,Cherbourg
124,sim,2,"Webber, Miss. Susan",feminino,32.5,0,0,27267,13,E101,Southampton
125,nao,1,"White, Mr. Percival Wayland",masculino,54,0,1,35281,77.2875,D26,Southampton
126,sim,3,"Nicola-Yarred, Master. Elias",masculino,12,1,0,2651,11.2417,NA,Cherbourg
127,nao,3,"McMahon, Mr. Martin",masculino,NA,0,0,370372,7.75,NA,Queenstow
128,sim,3,"Madsen, Mr. Fridtjof Arne",masculino,24,0,0,C 17369,7.1417,NA,Southampton
129,sim,3,"Peter, Miss. Anna",feminino,NA,1,1,2668,22.3583,F E69,Cherbourg
130,nao,3,"Ekstrom, Mr. Johan",masculino,45,0,0,347061,6975,NA,Southampton
131,nao,3,"Drazenoic, Mr. Jozef",masculino,33,0,0,349241,7.8958,NA,Cherbourg
132,nao,3,"Coelho, Mr. Domingos Fernandeo",masculino,20,0,0,SOTON/O.Q. 3101307,7.05,NA,Southampton
133,nao,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",feminino,47,1,0,A/5. 3337,14.5,NA,Southampton
134,sim,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",feminino,29,1,0,228414,26,NA,Southampton
135,nao,2,"Sobey, Mr. Samuel James Hayden",masculino,25,0,0,C.A. 29178,13,NA,Southampton
136,nao,2,"Richard, Mr. Emile",masculino,23,0,0,SC/PARIS 2133,15.0458,NA,Cherbourg
137,sim,1,"Newsom, Miss. Helen Monypeny",feminino,19,0,2,11752,26.2833,D47,Southampton
138,nao,1,"Futrelle, Mr. Jacques Heath",masculino,37,1,0,113803,53.1,C123,Southampton
139,nao,3,"Osen, Mr. Olaf Elon",masculino,16,0,0,7534,9.2167,NA,Southampton
140,nao,1,"Giglio, Mr. Victor",masculino,24,0,0,PC 17593,79.2,B86,Cherbourg
141,nao,3,"Boulos, Mrs. Joseph (Sultana)",feminino,NA,0,2,2678,15.2458,NA,Cherbourg
142,sim,3,"Nysten, Miss. Anna Sofia",feminino,22,0,0,347081,7.75,NA,Southampton
143,sim,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",feminino,24,1,0,STON/O2. 3101279,15.85,NA,Southampton
144,nao,3,"Burke, Mr. Jeremiah",masculino,19,0,0,365222,6.75,NA,Queenstow
145,nao,2,"Andrew, Mr. Edgardo Samuel",masculino,18,0,0,231945,11.5,NA,Southampton
146,nao,2,"Nicholls, Mr. Joseph Charles",masculino,19,1,1,C.A. 33112,36.75,NA,Southampton
147,sim,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",masculino,27,0,0,350043,7.7958,NA,Southampton
148,nao,3,"Ford, Miss. Robina Maggie ""Ruby""",feminino,9,2,2,W./C. 6608,34375,NA,Southampton
149,nao,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",masculino,36.5,0,2,230080,26,F2,Southampton
150,nao,2,"Byles, Rev. Thomas Roussel Davids",masculino,42,0,0,244310,13,NA,Southampton
151,nao,2,"Bateman, Rev. Robert James",masculino,51,0,0,S.O.P. 1166,12525,NA,Southampton
152,sim,1,"Pears, Mrs. Thomas (Edith Wearne)",feminino,22,1,0,113776,66.6,C2,Southampton
153,nao,3,"Meo, Mr. Alfonzo",masculino,55.5,0,0,A.5. 11206,8.05,NA,Southampton
154,nao,3,"van Billiard, Mr. Austin Blyler",masculino,40.5,0,2,A/5. 851,14.5,NA,Southampton
155,nao,3,"Olsen, Mr. Ole Martin",masculino,NA,0,0,Fa 265302,7.3125,NA,Southampton
156,nao,1,"Williams, Mr. Charles Duane",masculino,51,0,1,PC 17597,61.3792,NA,Cherbourg
157,sim,3,"Gilnagh, Miss. Katherine ""Katie""",feminino,16,0,0,35851,7.7333,NA,Queenstow
158,nao,3,"Corn, Mr. Harry",masculino,30,0,0,SOTON/OQ 392090,8.05,NA,Southampton
159,nao,3,"Smiljanic, Mr. Mile",masculino,NA,0,0,315037,8.6625,NA,Southampton
160,nao,3,"Sage, Master. Thomas Henry",masculino,NA,8,2,CA. 2343,69.55,NA,Southampton
161,nao,3,"Cribb, Mr. John Hatfield",masculino,44,0,1,371362,16.1,NA,Southampton
162,sim,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",feminino,40,0,0,C.A. 33595,15.75,NA,Southampton
163,nao,3,"Bengtsson, Mr. John Viktor",masculino,26,0,0,347068,7775,NA,Southampton
164,nao,3,"Calic, Mr. Jovo",masculino,17,0,0,315093,8.6625,NA,Southampton
165,nao,3,"Panula, Master. Eino Viljami",masculino,1,4,1,3101295,39.6875,NA,Southampton
166,sim,3,"Goldsmith, Master. Frank John William ""Frankie""",masculino,9,0,2,363291,20525,NA,Southampton
167,sim,1,"Chibnall, Mrs. (Edith Martha Bowerman)",feminino,NA,0,1,113505,55,E33,Southampton
168,nao,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",feminino,45,1,4,347088,27.9,NA,Southampton
169,nao,1,"Baumann, Mr. John D",masculino,NA,0,0,PC 17318,25925,NA,Southampton
170,nao,3,"Ling, Mr. Lee",masculino,28,0,0,1601,56.4958,NA,Southampton
171,nao,1,"Van der hoef, Mr. Wyckoff",masculino,61,0,0,111240,33.5,B19,Southampton
172,nao,3,"Rice, Master. Arthur",masculino,4,4,1,382652,29125,NA,Queenstow
173,sim,3,"Johnson, Miss. Eleanor Ileen",feminino,1,1,1,347742,11.1333,NA,Southampton
174,nao,3,"Sivola, Mr. Antti Wilhelm",masculino,21,0,0,STON/O 2. 3101280,7925,NA,Southampton
175,nao,1,"Smith, Mr. James Clinch",masculino,56,0,0,17764,30.6958,A7,Cherbourg
176,nao,3,"Klasen, Mr. Klas Albin",masculino,18,1,1,350404,7.8542,NA,Southampton
177,nao,3,"Lefebre, Master. Henry Forbes",masculino,NA,3,1,4133,25.4667,NA,Southampton
178,nao,1,"Isham, Miss. Ann Elizabeth",feminino,50,0,0,PC 17595,28.7125,C49,Cherbourg
179,nao,2,"Hale, Mr. Reginald",masculino,30,0,0,250653,13,NA,Southampton
180,nao,3,"Leonard, Mr. Lionel",masculino,36,0,0,LINE,0,NA,Southampton
181,nao,3,"Sage, Miss. Constance Gladys",feminino,NA,8,2,CA. 2343,69.55,NA,Southampton
182,nao,2,"Pernot, Mr. Rene",masculino,NA,0,0,SC/PARIS 2131,15.05,NA,Cherbourg
183,nao,3,"Asplund, Master. Clarence Gustaf Hugo",masculino,9,4,2,347077,31.3875,NA,Southampton
184,sim,2,"Becker, Master. Richard F",masculino,1,2,1,230136,39,F4,Southampton
185,sim,3,"Kink-Heilmann, Miss. Luise Gretchen",feminino,4,0,2,315153,22025,NA,Southampton
186,nao,1,"Rood, Mr. Hugh Roscoe",masculino,NA,0,0,113767,50,A32,Southampton
187,sim,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",feminino,NA,1,0,370365,15.5,NA,Queenstow
188,sim,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",masculino,45,0,0,111428,26.55,NA,Southampton
189,nao,3,"Bourke, Mr. John",masculino,40,1,1,364849,15.5,NA,Queenstow
190,nao,3,"Turcin, Mr. Stjepan",masculino,36,0,0,349247,7.8958,NA,Southampton
191,sim,2,"Pinsky, Mrs. (Rosa)",feminino,32,0,0,234604,13,NA,Southampton
192,nao,2,"Carbines, Mr. William",masculino,19,0,0,28424,13,NA,Southampton
193,sim,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",feminino,19,1,0,350046,7.8542,NA,Southampton
194,sim,2,"Navratil, Master. Michel M",masculino,3,1,1,230080,26,F2,Southampton
195,sim,1,"Brown, Mrs. James Joseph (Margaret Tobin)",feminino,44,0,0,PC 17610,27.7208,B4,Cherbourg
196,sim,1,"Lurette, Miss. Elise",feminino,58,0,0,PC 17569,146.5208,B80,Cherbourg
197,nao,3,"Mernagh, Mr. Robert",masculino,NA,0,0,368703,7.75,NA,Queenstow
198,nao,3,"Olsen, Mr. Karl Siegwart Andreas",masculino,42,0,1,4579,8.4042,NA,Southampton
199,sim,3,"Madigan, Miss. Margaret ""Maggie""",feminino,NA,0,0,370370,7.75,NA,Queenstow
200,nao,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",feminino,24,0,0,248747,13,NA,Southampton
201,nao,3,"Vande Walle, Mr. Nestor Cyriel",masculino,28,0,0,345770,9.5,NA,Southampton
202,nao,3,"Sage, Mr. Frederick",masculino,NA,8,2,CA. 2343,69.55,NA,Southampton
203,nao,3,"Johanson, Mr. Jakob Alfred",masculino,34,0,0,3101264,6.4958,NA,Southampton
204,nao,3,"Youseff, Mr. Gerious",masculino,45.5,0,0,2628,7225,NA,Cherbourg
205,sim,3,"Cohen, Mr. Gurshon ""Gus""",masculino,18,0,0,A/5 3540,8.05,NA,Southampton
206,nao,3,"Strom, Miss. Telma Matilda",feminino,2,0,1,347054,10.4625,G6,Southampton
207,nao,3,"Backstrom, Mr. Karl Alfred",masculino,32,1,0,3101278,15.85,NA,Southampton
208,sim,3,"Albimona, Mr. Nassef Cassem",masculino,26,0,0,2699,18.7875,NA,Cherbourg
209,sim,3,"Carr, Miss. Helen ""Ellen""",feminino,16,0,0,367231,7.75,NA,Queenstow
210,sim,1,"Blank, Mr. Henry",masculino,40,0,0,112277,31,A31,Cherbourg
211,nao,3,"Ali, Mr. Ahmed",masculino,24,0,0,SOTON/O.Q. 3101311,7.05,NA,Southampton
212,sim,2,"Cameron, Miss. Clear Annie",feminino,35,0,0,F.C.C. 13528,21,NA,Southampton
213,nao,3,"Perkin, Mr. John Henry",masculino,22,0,0,A/5 21174,7.25,NA,Southampton
214,nao,2,"Givard, Mr. Hans Kristensen",masculino,30,0,0,250646,13,NA,Southampton
215,nao,3,"Kiernan, Mr. Philip",masculino,NA,1,0,367229,7.75,NA,Queenstow
216,sim,1,"Newell, Miss. Madeleine",feminino,31,1,0,35273,113275,D36,Cherbourg
217,sim,3,"Honkanen, Miss. Eliina",feminino,27,0,0,STON/O2. 3101283,7925,NA,Southampton
218,nao,2,"Jacobsohn, Mr. Sidney Samuel",masculino,42,1,0,243847,27,NA,Southampton
219,sim,1,"Bazzani, Miss. Albina",feminino,32,0,0,11813,76.2917,D15,Cherbourg
220,nao,2,"Harris, Mr. Walter",masculino,30,0,0,W/C 14208,10.5,NA,Southampton
221,sim,3,"Sunderland, Mr. Victor Francis",masculino,16,0,0,SOTON/OQ 392089,8.05,NA,Southampton
222,nao,2,"Bracken, Mr. James H",masculino,27,0,0,220367,13,NA,Southampton
223,nao,3,"Green, Mr. George Henry",masculino,51,0,0,21440,8.05,NA,Southampton
224,nao,3,"Nenkoff, Mr. Christo",masculino,NA,0,0,349234,7.8958,NA,Southampton
225,sim,1,"Hoyt, Mr. Frederick Maxfield",masculino,38,1,0,19943,90,C93,Southampton
226,nao,3,"Berglund, Mr. Karl Ivar Sven",masculino,22,0,0,PP 4348,9.35,NA,Southampton
227,sim,2,"Mellors, Mr. William John",masculino,19,0,0,SW/PP 751,10.5,NA,Southampton
228,nao,3,"Lovell, Mr. John Hall (""Henry"")",masculino,20.5,0,0,A/5 21173,7.25,NA,Southampton
229,nao,2,"Fahlstrom, Mr. Arne Jonas",masculino,18,0,0,236171,13,NA,Southampton
230,nao,3,"Lefebre, Miss. Mathilde",feminino,NA,3,1,4133,25.4667,NA,Southampton
231,sim,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",feminino,35,1,0,36973,83475,C83,Southampton
232,nao,3,"Larsson, Mr. Bengt Edvin",masculino,29,0,0,347067,7775,NA,Southampton
233,nao,2,"Sjostedt, Mr. Ernst Adolf",masculino,59,0,0,237442,13.5,NA,Southampton
234,sim,3,"Asplund, Miss. Lillian Gertrud",feminino,5,4,2,347077,31.3875,NA,Southampton
235,nao,2,"Leyson, Mr. Robert William Norman",masculino,24,0,0,C.A. 29566,10.5,NA,Southampton
236,nao,3,"Harknett, Miss. Alice Phoebe",feminino,NA,0,0,W./C. 6609,7.55,NA,Southampton
237,nao,2,"Hold, Mr. Stephen",masculino,44,1,0,26707,26,NA,Southampton
238,sim,2,"Collyer, Miss. Marjorie ""Lottie""",feminino,8,0,2,C.A. 31921,26.25,NA,Southampton
239,nao,2,"Pengelly, Mr. Frederick William",masculino,19,0,0,28665,10.5,NA,Southampton
240,nao,2,"Hunt, Mr. George Henry",masculino,33,0,0,SCO/W 1585,12275,NA,Southampton
241,nao,3,"Zabour, Miss. Thamine",feminino,NA,1,0,2665,14.4542,NA,Cherbourg
242,sim,3,"Murphy, Miss. Katherine ""Kate""",feminino,NA,1,0,367230,15.5,NA,Queenstow
243,nao,2,"Coleridge, Mr. Reginald Charles",masculino,29,0,0,W./C. 14263,10.5,NA,Southampton
244,nao,3,"Maenpaa, Mr. Matti Alexanteri",masculino,22,0,0,STON/O 2. 3101275,7125,NA,Southampton
245,nao,3,"Attalah, Mr. Sleiman",masculino,30,0,0,2694,7225,NA,Cherbourg
246,nao,1,"Minahan, Dr. William Edward",masculino,44,2,0,19928,90,C78,Queenstow
247,nao,3,"Lindahl, Miss. Agda Thorilda Viktoria",feminino,25,0,0,347071,7775,NA,Southampton
248,sim,2,"Hamalainen, Mrs. William (Anna)",feminino,24,0,2,250649,14.5,NA,Southampton
249,sim,1,"Beckwith, Mr. Richard Leonard",masculino,37,1,1,11751,52.5542,D35,Southampton
250,nao,2,"Carter, Rev. Ernest Courtenay",masculino,54,1,0,244252,26,NA,Southampton
251,nao,3,"Reed, Mr. James George",masculino,NA,0,0,362316,7.25,NA,Southampton
252,nao,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",feminino,29,1,1,347054,10.4625,G6,Southampton
253,nao,1,"Stead, Mr. William Thomas",masculino,62,0,0,113514,26.55,C87,Southampton
254,nao,3,"Lobb, Mr. William Arthur",masculino,30,1,0,A/5. 3336,16.1,NA,Southampton
255,nao,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",feminino,41,0,2,370129,20.2125,NA,Southampton
256,sim,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",feminino,29,0,2,2650,15.2458,NA,Cherbourg
257,sim,1,"Thorne, Mrs. Gertrude Maybelle",feminino,NA,0,0,PC 17585,79.2,NA,Cherbourg
258,sim,1,"Cherry, Miss. Gladys",feminino,30,0,0,110152,86.5,B77,Southampton
259,sim,1,"Ward, Miss. Anna",feminino,35,0,0,PC 17755,512.3292,NA,Cherbourg
260,sim,2,"Parrish, Mrs. (Lutie Davis)",feminino,50,0,1,230433,26,NA,Southampton
261,nao,3,"Smith, Mr. Thomas",masculino,NA,0,0,384461,7.75,NA,Queenstow
